Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg
0,1;-0,2;0;-0,1
0,2;-0,3;0;-0,1
0,3;-0,3;0;-0,1
0,4;-0,3;0;-0,1
0,5;-0,2;0;-0,1
0,6;-0,2;0;-0,1
0,7;-0,2;0;-0,1
0,9;-0,2;0;-0,1
1;-0,3;0;-0,1
1,2;-0,3;0;-0,1
1,3;-0,3;0;-0,1
1,4;-0,3;0;-0,1
1,6;-0,2;0;-0,1
1,7;-0,2;0;-0,1
1,9;-0,3;0;-0,1
1,9;-0,3;0;-0,1
2,1;-0,3;0;-0,1
2,2;-0,3;0;-0,1
2,3;-0,3;0;-0,1
2,5;-0,3;0;-0,1
2,6;-0,3;0;-0,1
2,7;-0,3;0;-0,1
2,8;-0,3;0;-0,1
3;-0,3;0;-0,1
3,1;-0,3;0;-0,1
3,3;-0,3;0;-0,1
3,4;-0,6;-2,9;-2,3
3,5;-0,7;-4,5;-3,6
3,6;-1;-7,8;-6,1
3,7;-1;-9,5;-7,4
3,8;-1,7;-12,9;-10,1
3,9;-1,5;-14,6;-11,3
4,1;-2,2;-18,1;-14,1
4,1;-2,7;-19,8;-15,5
4,3;-3,9;-23,3;-18,4
4,5;-4,8;-27,4;-21,7
4,6;-5,8;-29,5;-23,6
4,8;-6,6;-30;-24,1
5;-7,4;-30;-24,3
5,2;-8,2;-30;-24,5
5,4;-8,9;-30;-24,7
5,4;-9,3;-30;-24,8
5,6;-10,1;-30;-25
5,8;-10,8;-30;-25,2
6;-11,5;-30;-25,4
6,2;-12,1;-30;-25,5
6,4;-12,7;-30;-25,6
6,6;-13,3;-30;-25,8
6,8;-13,9;-30;-25,9
7;-14,5;-30;-26,1
7,2;-15,1;-30;-26,2
7,4;-15,6;-30;-26,4
7,6;-16,1;-30;-26,5
7,8;-16,5;-30;-26,6
8;-17;-30;-26,7
8,2;-17;-30,4;-27,1
8,3;-17,4;-31,5;-27,9
8,4;-17,8;-31,5;-28
8,5;-18,1;-31,5;-28,1
8,7;-18,6;-31,5;-28,2
8,9;-19;-31,5;-28,3
9,1;-19,4;-31,5;-28,4
9,3;-19,8;-31,5;-28,5
9,4;-20;-31,5;-28,6
9,5;-20,1;-31,5;-28,6
9,7;-20,5;-31,5;-28,7
9,9;-20,9;-31,5;-28,8
10,1;-21,2;-31,5;-28,9
10,3;-21,6;-31,5;-29
10,5;-21,9;-31,5;-29,1
10,7;-22,2;-31,5;-29,1
10,9;-22,5;-31,5;-29,2
11,1;-22,8;-31,5;-29,3
11,3;-23;-31,5;-29,4
11,4;-23,2;-31,5;-29,4
11,5;-23,3;-31,5;-29,4
11,7;-23,6;-31,5;-29,5
11,9;-23,8;-31,5;-29,6
12,1;-24;-31,5;-29,6
12,3;-24,3;-31,5;-29,7
12,5;-24,5;-31,5;-29,7
12,6;-24,6;-31,5;-29,8
12,7;-24,7;-31,5;-29,8
12,8;-24,8;-31,5;-29,8
12,9;-24,9;-31,5;-29,8
13,1;-25,1;-31,5;-29,9
13,3;-25,3;-31,5;-29,9
13,5;-25,5;-31,5;-30
13,7;-25,7;-31,5;-30
13,8;-25,7;-31,5;-30
13,9;-25,8;-31,5;-30,1
14,1;-26;-31,5;-30,1
14,3;-26,2;-31,5;-30,1
14,5;-26,3;-31,5;-30,2
14,7;-26,4;-31,3;-30,1
14,8;-26,5;-31,3;-30,1
14,9;-26,6;-31,3;-30,1
15,1;-26,7;-31,3;-30,1
15,3;-26,8;-31,3;-30,2
15,5;-26,9;-31,3;-30,2
15,7;-27;-31,3;-30,2
15,8;-27,1;-31,3;-30,2
15,9;-27,1;-31,3;-30,2
16;-27,2;-31,3;-30,2
16,2;-27,3;-31,3;-30,3
16,4;-27,4;-31,3;-30,3
16,6;-27,4;-31,3;-30,3
16,8;-27,6;-31,3;-30,4
16,9;-27,6;-31,3;-30,4
17;-27,6;-31,3;-30,4
17,1;-27,7;-31,3;-30,4
17,3;-27,8;-31,3;-30,4
17,5;-27,9;-31,3;-30,4
17,7;-28;-31,3;-30,4
17,9;-28;-31,3;-30,5
18;-28;-31,3;-30,5
18,2;-28,1;-31,3;-30,5
18,4;-28,1;-31,3;-30,5
18,6;-28,1;-31,3;-30,5
18,8;-28,2;-31,3;-30,5
19;-28,3;-31,3;-30,5
19,2;-28,4;-31,3;-30,6
19,4;-28,5;-31,3;-30,6
19,6;-28,5;-31,3;-30,6
19,8;-28,5;-31,3;-30,6
20;-28,8;-31,3;-30,7
20,1;-29,1;-31,3;-30,7
20,2;-29,2;-31,3;-30,8
20,4;-29,4;-31,3;-30,8
20,6;-29,5;-31,3;-30,8
20,8;-29,5;-31,3;-30,8
21;-29,5;-31,3;-30,8
21,1;-29,5;-31,3;-30,8
21,3;-29,4;-31,3;-30,8
21,5;-29,4;-31,3;-30,8
21,7;-29,4;-31,3;-30,8
21,9;-29,4;-31,3;-30,8
22,1;-29,4;-31,3;-30,8
22,2;-29,4;-31,3;-30,8
22,4;-29,4;-31,3;-30,8
22,5;-29,4;-31,3;-30,8
22,7;-29,4;-31,3;-30,8
22,9;-29,4;-31,3;-30,8
23;-29,4;-31,3;-30,8
23,1;-29,4;-31,3;-30,8
23,2;-29,3;-31,3;-30,8
23,4;-29,3;-31,3;-30,8
23,6;-29,3;-31,3;-30,8
23,8;-29,3;-31,3;-30,8
24;-29,3;-31,3;-30,8
24,1;-29,3;-31,3;-30,8
24,3;-29,3;-31,3;-30,8
24,5;-29,3;-31,3;-30,8
24,7;-29,3;-31,3;-30,8
24,9;-29,3;-31,3;-30,8
25,1;-29,4;-31,3;-30,8
25,1;-29,4;-31,3;-30,8
25,2;-29,4;-31,3;-30,8
25,4;-29,5;-31,3;-30,8
25,6;-29,6;-31,3;-30,9
25,7;-29,6;-31,3;-30,9
25,9;-29,6;-31,3;-30,9
26,1;-29,6;-31,3;-30,9
26,2;-29,6;-31,3;-30,9
26,4;-29,6;-31,3;-30,9
26,6;-29,6;-31,3;-30,9
26,8;-29,6;-31,3;-30,9
27;-29,6;-31,3;-30,9
27,1;-29,6;-31,3;-30,9
27,2;-29,6;-31,3;-30,9
27,4;-29,6;-31,3;-30,9
27,6;-29,6;-31,3;-30,9
27,9;-29,6;-31,3;-30,9
28,1;-29,6;-31,3;-30,9
28,2;-29,6;-31,3;-30,9
28,3;-29,6;-31,3;-30,9
28,4;-29,6;-31,3;-30,9
28,6;-29,6;-31,3;-30,9
28,8;-29,6;-31,3;-30,9
29;-29,6;-31,3;-30,9
29,1;-29,5;-31,3;-30,8
29,3;-29,5;-31,3;-30,8
29,5;-29,5;-31,3;-30,8
29,7;-29,5;-31,3;-30,8
29,9;-29,5;-31,3;-30,8
30;-29,5;-31,3;-30,8
30,1;-29,5;-31,3;-30,8
30,3;-29,5;-31,3;-30,8
30,5;-29,5;-31,3;-30,8
30,7;-29,5;-31,3;-30,9
30,9;-29,6;-31,3;-30,9
31;-29,6;-31,3;-30,9
31,1;-29,6;-31,3;-30,9
31,1;-29,6;-31,3;-30,9
31,3;-29,6;-31,3;-30,9
31,5;-29,6;-31,3;-30,9
31,6;-29,6;-31,3;-30,9
31,8;-29,6;-31,3;-30,9
32;-29,6;-31,3;-30,9
32,1;-29,6;-31,3;-30,9
32,3;-29,6;-31,3;-30,9
32,5;-29,6;-31,3;-30,9
32,9;-29,6;-31,3;-30,9
33;-29,7;-31,3;-30,9
33,1;-29,7;-31,3;-30,9
33,2;-29,7;-31,3;-30,9
33,4;-29,7;-31,3;-30,9
33,6;-29,6;-31,3;-30,9
33,7;-29,6;-31,3;-30,9
33,9;-29,6;-31,3;-30,9
34;-29,7;-31,3;-30,9
34,2;-29,6;-31,3;-30,9
34,3;-29,6;-31,3;-30,9
34,5;-29,6;-31,3;-30,9
34,7;-29,6;-31,3;-30,9
34,8;-29,6;-31,3;-30,9
35;-29,6;-31,3;-30,9
35,1;-29,6;-31,3;-30,9
35,2;-29,6;-31,3;-30,9
35,3;-29,6;-31,3;-30,9
35,5;-29,6;-31,3;-30,9
35,7;-29,6;-31,3;-30,9
35,8;-29,6;-31,3;-30,9
36;-29,5;-31,3;-30,9
36,1;-29,5;-31,3;-30,8
36,3;-29,5;-31,3;-30,8
36,4;-29,5;-31,3;-30,8
36,6;-29,5;-31,3;-30,8
36,8;-29,5;-31,3;-30,8
36,9;-29,5;-31,3;-30,9
37;-29,6;-31,3;-30,9
37,1;-29,5;-31,3;-30,8
37,3;-29,5;-31,3;-30,8
37,4;-29,5;-31,3;-30,8
37,6;-29,5;-31,3;-30,8
37,8;-29,5;-31,3;-30,8
38;-29,5;-31,3;-30,8
38,1;-29,5;-31,3;-30,8
38,3;-29,5;-31,3;-30,8
38,5;-29,5;-31,3;-30,8
38,7;-29,5;-31,3;-30,8
38,9;-29,5;-31,3;-30,8
39;-29,5;-31,3;-30,8
39,2;-29,5;-31,3;-30,8
39,4;-29,5;-31,3;-30,8
39,5;-29,5;-31,3;-30,8
39,6;-29,5;-31,3;-30,8
39,8;-29,4;-31,3;-30,8
40;-29,4;-31,3;-30,8
40,1;-29,4;-31,3;-30,8
40,3;-29,4;-31,3;-30,8
40,5;-29,4;-31,3;-30,8
40,6;-29,4;-31,3;-30,8
40,7;-29,5;-31,3;-30,8
