Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg;;;;;;;;;;;;;;;
0,3;0;0;0;;;;;;;;;;;;;;;
0,4;0;0;0;;;;;;;;;;;;;;;
0,5;0,1;0;0;;;;;;;;;;;;;;;
0,6;0;0;0;;;;;;;;;;;;;;;
0,7;0;0;0;;;;;;;;;;;;;;;
0,8;0;0;0;;;;;;;;;;;;;;;
0,9;0,1;0;0;;;;;;;;;;;;;;; 
1,1;0,1;0;0;;;;;;;;;;;;;;;
1,1;0;0;0;;;;;;;;;;;;;;;
1,3;0,1;0;0;;;;;;;;;;;;;;;
1,4;0,1;0;0;;;;;;;;;;;;;;;
1,5;0,1;0;0;;;;;;;;;;;;;;;
1,6;0,1;0;0;;;;;;;;;;;;;;;
1,7;0,1;0;0;;;;;;;;;;;;;;;
1,8;0,1;0;0;;;;;;;;;;;;;;;
1,9;0,1;0;0;;;;;;;;;;;;;;;
2;0,1;0;0;;;;;;;;;;;;;;;
2,2;0,1;0;0;;;;;;;;;;;;;;;
2,2;0;0;0;;;;;;;;;;;;;;;
2,4;0;0;0;;;;;;;;;;;;;;;
2,5;0,1;0;0;;;;;;;;;;;;;;;
2,6;0;0;0;;;;;;;;;;;;;;;
2,7;0,1;0;0;;;;;;;;;;;;;;;
2,8;0;0;0;;;;;;;;;;;;;;;
2,9;0,1;0;0;;;;;;;;;;;;;;;
3;0,1;0;0;;;;;;;;;;;;;;;
3,1;0,1;0;0;;;;;;;;;;;;;;;
3,2;0,1;0;0;;;;;;;;;;;;;;;
3,3;0,1;0;0;;;;;;;;;;;;;;;
3,4;0,1;0;0;;;;;;;;;;;;;;;
3,6;0,1;0;0;;;;;;;;;;;;;;;
3,7;0,1;0;0;;;;;;;;;;;;;;;
3,8;0,1;0;0;;;;;;;;;;;;;;;
3,9;0,1;0;0;;;;;;;;;;;;;;;
4;0,1;0;0;;;;;;;;;;;;;;;
4,1;0,1;0;0;;;;;;;;;;;;;;;
4,3;0,1;0;0;;;;;;;;;;;;;;;
4,3;0,1;0;0;;;;;;;;;;;;;;;
4,5;0,1;0;0;;;;;;;;;;;;;;;
4,5;0,1;0;0;;;;;;;;;;;;;;;
4,7;0,1;0;0;;;;;;;;;;;;;;;
4,7;0,1;0;0;;;;;;;;;;;;;;;
4,9;0,1;0;0;;;;;;;;;;;;;;;
5;0,1;0;0;;;;;;;;;;;;;;;
5,1;0,1;0;0;;;;;;;;;;;;;;;
5,2;0,1;0;0;;;;;;;;;;;;;;;
5,3;0,7;2,4;1,9;;;;;;;;;;;;;;;
5,4;1,4;4;3,3;;;;;;;;;;;;;;;
5,6;1,2;7,2;5,7;;;;;;;;;;;;;;;
5,6;1,5;8,8;7;;;;;;;;;;;;;;;
5,8;2,3;12;9,6;;;;;;;;;;;;;;;
5,9;2,9;15,2;12,1;;;;;;;;;;;;;;;
6;3;16,9;13,4;;;;;;;;;;;;;;;
6,1;3,4;20,2;16;;;;;;;;;;;;;;;
6,2;3,4;21,9;17,3;;;;;;;;;;;;;;;
6,3;3,5;23,9;18,8;;;;;;;;;;;;;;;
6,5;5;27,9;22,2;;;;;;;;;;;;;;;
6,6;5,8;30;24;;;;;;;;;;;;;;;
6,7;6,4;30;24,1;;;;;;;;;;;;;;;
6,9;7,3;30;24,3;;;;;;;;;;;;;;;
7,1;8,2;30;24,5;;;;;;;;;;;;;;;
7,3;9,1;30;24,8;;;;;;;;;;;;;;;
7,4;9,5;30;24,9;;;;;;;;;;;;;;;
7,5;9,9;30;25;;;;;;;;;;;;;;;
7,7;10,7;30;25,2;;;;;;;;;;;;;;;
7,9;11,4;30;25,4;;;;;;;;;;;;;;;
8,1;12,2;30;25,6;;;;;;;;;;;;;;;
8,2;12,6;30;25,6;;;;;;;;;;;;;;;
8,4;13,3;30;25,8;;;;;;;;;;;;;;;
8,6;14,1;30;26;;;;;;;;;;;;;;;
8,8;14,8;30;26,2;;;;;;;;;;;;;;;
8,9;15,4;30;26,4;;;;;;;;;;;;;;;
9;15,7;30;26,4;;;;;;;;;;;;;;;
9,2;16,3;30;26,6;;;;;;;;;;;;;;;
9,4;16,8;30;26,7;;;;;;;;;;;;;;;
9,6;17,3;30;26,8;;;;;;;;;;;;;;;
9,7;17,6;30;26,9;;;;;;;;;;;;;;;
9,8;17,8;30;27;;;;;;;;;;;;;;;
10;18,3;30;27,1;;;;;;;;;;;;;;;
10,2;18,8;30;27,2;;;;;;;;;;;;;;;
10,4;19,2;30;27,3;;;;;;;;;;;;;;;
10,5;19,4;30;27,4;;;;;;;;;;;;;;;
10,6;19,6;30;27,4;;;;;;;;;;;;;;;
10,8;20;30;27,5;;;;;;;;;;;;;;;
11;20,4;30;27,6;;;;;;;;;;;;;;;
11,2;20,8;30;27,7;;;;;;;;;;;;;;;
11,2;21;30;27,8;;;;;;;;;;;;;;;
11,3;21,2;30;27,8;;;;;;;;;;;;;;;
11,4;21,3;30;27,8;;;;;;;;;;;;;;;
