Time_sec;MPU_Fusion_deg;Shaft_Angle_deg;Final_Fusion_deg
0.1;-0.7;0.0;-0.2
0.3;-0.8;0.0;-0.2
0.5;-0.9;0.0;-0.3
0.6;-1.0;0.0;-0.3
0.7;-1.1;0.0;-0.3
0.9;-1.2;0.0;-0.3
1.0;-1.3;0.0;-0.4
1.2;-1.4;0.0;-0.4
1.4;-1.5;0.0;-0.4
1.5;-1.6;0.0;-0.5
1.7;-1.7;0.0;-0.5
1.9;-1.8;0.0;-0.5
2.0;-1.8;0.0;-0.5
2.1;-1.9;0.0;-0.6
2.2;-2.0;0.0;-0.6
2.4;-2.1;0.0;-0.6
2.5;-2.2;0.0;-0.7
2.7;-2.3;0.0;-0.7
2.9;-2.4;0.0;-0.7
3.0;-2.5;0.0;-0.8
3.2;-2.6;0.0;-0.8
3.4;-2.8;0.0;-0.8
3.5;-2.9;0.0;-0.8
3.7;-3.0;0.0;-0.9
3.9;-3.1;0.0;-0.9
4.0;-3.2;0.0;-1.0
4.2;-3.3;0.0;-1.0
4.3;-3.5;0.0;-1.0
4.5;-3.6;0.0;-1.1
4.7;-3.7;0.0;-1.1
4.8;-3.8;0.0;-1.1
5.0;-3.9;0.0;-1.2
5.2;-4.1;0.0;-1.2
5.3;-4.1;0.0;-1.2
5.4;-4.3;0.0;-1.3
5.5;-4.3;0.0;-1.3
5.6;-4.4;0.0;-1.3
5.7;-4.2;2.3;0.3
5.8;-4.1;4.2;1.7
6.0;-3.9;7.9;4.4
6.2;-3.6;11.8;7.2
6.3;-3.2;15.5;9.9
6.5;-2.9;19.4;12.7
6.7;-2.3;23.3;15.6
6.8;-1.8;27.2;18.5
6.9;-1.6;29.2;20.0
7.1;-1.1;33.0;22.8
7.2;-0.5;36.9;25.6
7.4;0.2;40.8;28.6
7.6;0.9;44.6;31.5
7.7;1.0;45.0;31.8
7.8;1.2;45.0;31.9
7.9;1.4;45.0;31.9
8.1;1.6;45.0;32.0
8.2;1.8;45.0;32.1
8.4;2.0;45.0;32.1
8.6;2.3;45.0;32.2
8.7;2.5;45.0;32.3
8.9;2.7;45.0;32.3
9.0;2.9;45.0;32.4
9.2;3.1;45.0;32.5
9.3;3.3;45.0;32.5
9.5;3.6;45.0;32.6
9.7;3.8;45.0;32.7
9.8;3.9;45.0;32.7
9.8;4.0;45.0;32.7
10.0;4.3;45.0;32.8
10.1;4.4;45.0;32.9
10.2;4.5;45.0;32.9
10.4;4.8;45.0;33.0
10.5;5.0;45.0;33.0
10.6;5.2;45.0;33.1
10.8;5.4;45.0;33.1
11.0;5.7;45.0;33.2
11.1;5.9;45.0;33.3
11.3;6.2;45.0;33.4
11.4;6.3;45.0;33.4
11.6;6.6;45.0;33.5
11.7;6.8;45.0;33.6
11.9;7.1;45.0;33.6
12.1;7.4;45.0;33.7
12.2;7.5;45.0;33.8
12.3;7.8;45.0;33.9
12.5;7.6;44.5;33.4
12.7;7.9;43.9;33.1
12.8;8.1;43.9;33.2
12.9;8.2;43.9;33.2
13.1;8.5;43.9;33.3
13.3;8.8;43.9;33.4
13.4;8.9;43.9;33.4
13.4;9.0;43.9;33.4
13.6;9.3;43.9;33.5
13.7;9.5;43.9;33.6
13.8;9.6;43.9;33.6
14.0;9.9;43.9;33.7
14.1;10.2;43.9;33.8
14.3;10.4;43.9;33.9
14.5;10.7;43.9;34.0
14.6;10.9;43.9;34.0
14.7;11.2;43.9;34.1
14.9;11.5;43.9;34.2
15.0;11.6;43.9;34.2
15.2;11.9;43.9;34.3
15.3;12.2;43.9;34.4
15.4;12.4;43.9;34.4
15.6;12.7;43.9;34.5
15.8;13.0;43.9;34.6
15.9;13.3;43.9;34.7
16.1;13.7;43.9;34.8
16.2;13.8;43.9;34.9
16.4;14.2;43.9;35.0
16.6;14.5;43.9;35.1
16.6;14.6;43.9;35.1
16.8;15.0;43.9;35.2
17.0;15.3;43.9;35.3
17.1;15.5;43.9;35.4
17.2;15.8;43.9;35.5
17.4;16.2;43.9;35.6
17.6;16.5;43.9;35.7
17.8;16.9;43.9;35.8
17.9;17.1;43.9;35.9
18.0;17.4;43.9;36.0
18.2;17.8;43.9;36.1
18.3;18.0;43.9;36.1
18.5;18.4;43.9;36.2
18.6;18.7;43.9;36.4
18.7;18.9;43.9;36.4
18.9;19.3;43.9;36.5
19.1;19.7;43.9;36.7
19.2;19.9;43.9;36.7
19.3;20.3;43.9;36.8
19.5;20.7;43.9;37.0
19.7;21.1;43.9;37.1
19.8;21.6;43.9;37.2
19.9;21.8;43.9;37.3
20.0;22.0;43.9;37.3
20.2;22.4;43.9;37.5
20.4;22.8;43.9;37.6
20.5;23.0;43.9;37.7
20.6;23.5;43.9;37.8
20.7;23.7;43.9;37.9
20.8;23.9;43.9;37.9
21.0;24.4;43.9;38.1
21.1;24.9;43.9;38.2
21.3;25.3;43.9;38.3
21.5;25.8;43.9;38.5
21.6;26.0;43.9;38.6
21.8;26.5;43.9;38.7
21.9;27.0;43.9;38.9
22.0;27.2;43.9;38.9
22.2;27.7;43.9;39.1
22.4;28.2;43.9;39.2
22.4;28.5;43.9;39.3
22.6;29.0;44.0;39.5
22.8;29.5;44.0;39.6
22.9;29.7;44.0;39.7
23.1;30.2;44.0;39.9
23.2;30.8;44.0;40.0
23.4;31.3;44.0;40.2
23.6;31.9;44.0;40.4
23.7;32.1;44.0;40.4
23.8;32.7;44.0;40.6
24.0;33.3;44.0;40.8
24.1;33.5;44.0;40.9
24.3;34.1;44.0;41.0
24.4;34.7;44.0;41.2
24.5;35.0;44.0;41.3
24.7;35.6;44.0;41.5
24.9;36.2;44.0;41.6
25.0;36.5;44.0;41.7
25.1;37.1;44.0;41.9
25.3;37.7;44.0;42.1
25.5;38.3;44.0;42.3
25.7;38.9;44.0;42.5
25.7;39.2;44.0;42.6
25.8;39.5;44.0;42.6
26.0;40.2;44.0;42.8
26.1;40.5;44.0;42.9
26.2;40.8;44.0;43.0
26.3;41.5;44.0;43.2
26.5;42.1;44.0;43.4
26.7;42.8;44.0;43.6
26.9;43.5;44.0;43.8
27.0;43.8;44.0;43.9
27.0;44.2;44.0;44.0
27.2;44.9;44.0;44.2
27.4;45.5;44.0;44.5
27.6;46.2;44.0;44.7
27.7;46.9;44.0;44.9
27.9;47.6;44.0;45.1
28.1;48.4;44.0;45.3
28.2;48.7;44.0;45.4
28.3;49.1;44.0;45.5
28.4;49.8;44.0;45.7
28.6;50.5;44.0;45.9
28.8;51.2;44.0;46.2
28.9;52.0;44.0;46.4
29.0;52.4;44.0;46.5
29.2;53.1;44.0;46.7
29.4;53.8;44.0;46.9
29.5;54.2;44.0;47.0
29.6;54.9;44.0;47.3
29.8;55.7;44.0;47.5
29.9;56.1;44.0;47.6
30.1;56.8;44.0;47.8
30.2;57.6;44.0;48.1
30.3;58.0;44.0;48.2
30.5;58.7;44.0;48.4
30.7;59.5;44.0;48.6
30.9;60.2;44.0;48.9
31.0;61.0;44.0;49.1
31.1;61.4;44.0;49.2
31.3;62.1;44.0;49.4
31.5;62.9;44.0;49.7
31.5;63.3;44.0;49.8
31.7;64.1;44.0;50.0
31.9;64.8;44.0;50.2
32.0;65.2;44.0;50.4
32.2;66.0;44.0;50.6
32.2;66.3;44.0;50.7
32.3;66.7;44.0;50.8
32.5;67.5;44.0;51.0
32.6;67.8;44.0;51.1
32.7;68.2;44.0;51.3
32.8;69.0;44.0;51.5
33.0;69.7;44.0;51.7
33.2;70.4;44.0;51.9
33.4;71.1;44.0;52.1
33.5;71.5;44.0;52.2
33.5;71.8;44.0;52.3
33.7;72.6;44.0;52.6
33.9;73.3;44.0;52.8
34.1;74.0;44.0;53.0
34.2;74.7;44.0;53.2
34.3;75.0;44.0;53.3
34.5;75.7;44.0;53.5
34.7;76.4;44.0;53.7
34.8;76.7;44.0;53.8
34.9;77.4;44.0;54.0
35.1;78.1;44.0;54.2
35.3;78.8;44.0;54.4
35.4;79.5;44.0;54.6
35.5;79.8;44.0;54.7
35.7;80.4;44.0;54.9
35.9;81.1;44.0;55.1
36.0;81.4;44.0;55.2
36.1;81.7;44.0;55.3
36.2;82.4;44.0;55.5
36.4;83.0;44.0;55.7
36.6;83.7;44.0;55.9
36.7;84.3;44.0;56.1
36.8;84.6;44.0;56.2
37.0;85.2;44.0;56.4
37.2;85.8;44.0;56.5
