Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.2,-3.5,0.0,-1.0
0.2,-3.5,0.0,-1.1
0.4,-3.6,0.0,-1.1
0.5,-3.7,0.0,-1.1
0.7,-3.8,0.0,-1.1
0.8,-4.0,0.0,-1.2
1.0,-4.1,0.0,-1.2
1.2,-4.2,0.0,-1.3
1.3,-4.3,0.0,-1.3
1.5,-4.5,0.0,-1.3
1.6,-4.6,0.0,-1.4
1.8,-4.7,0.0,-1.4
2.0,-4.8,0.0,-1.4
2.1,-5.0,0.0,-1.5
2.3,-5.1,0.0,-1.5
2.5,-5.2,0.0,-1.6
2.6,-5.3,0.0,-1.6
2.7,-5.5,0.0,-1.6
2.8,-5.5,0.0,-1.6
2.9,-5.6,0.0,-1.7
3.0,-5.7,0.0,-1.7
3.2,-5.9,0.0,-1.8
3.4,-6.0,0.0,-1.8
3.5,-6.1,0.0,-1.8
3.7,-6.3,0.0,-1.9
3.9,-6.5,0.0,-1.9
6.4,-0.4,0.0,-0.1
6.6,-0.5,0.0,-0.1
6.8,-0.6,0.0,-0.2
6.9,-0.6,0.0,-0.2
7.1,-0.7,0.0,-0.2
7.3,-0.8,0.0,-0.2
7.4,-0.9,0.0,-0.3
7.6,-1.0,0.0,-0.3
7.8,-1.1,0.0,-0.3
7.9,-1.2,0.0,-0.4
8.1,-1.3,0.0,-0.4
8.3,-1.4,0.0,-0.4
8.4,-1.5,0.0,-0.5
8.6,-1.6,0.0,-0.5
8.8,-1.8,0.0,-0.5
8.9,-1.9,0.0,-0.6
9.1,-2.0,0.0,-0.6
9.2,-1.8,2.2,1.0
9.4,-1.6,6.0,3.7
9.6,-1.6,9.8,6.4
9.7,-1.6,13.6,9.1
9.9,-1.5,17.4,11.7
10.0,-1.2,19.4,13.2
10.2,-0.9,23.3,16.1
10.3,-0.5,27.2,18.9
10.5,-0.1,31.1,21.7
10.7,0.2,34.9,24.5
10.8,0.7,38.7,27.3
11.0,1.2,42.6,30.2
11.2,1.9,46.4,33.1
11.3,2.4,50.3,35.9
11.5,2.9,54.1,38.7
11.6,3.3,56.0,40.2
11.6,3.6,58.0,41.6
11.8,4.2,61.8,44.5
12.0,4.8,65.6,47.4
12.1,5.5,69.5,50.3
12.3,6.2,73.2,53.1
12.5,6.9,77.1,56.0
12.6,7.6,81.0,59.0
12.8,8.3,84.8,61.9
13.0,9.1,88.7,64.8
13.1,9.4,90.0,65.8
13.3,9.8,90.0,66.0
13.4,10.0,90.0,66.0
13.5,10.4,90.0,66.2
13.6,10.6,90.0,66.2
13.8,11.0,90.0,66.3
14.0,11.3,90.0,66.4
14.1,11.5,90.0,66.5
14.2,11.9,90.0,66.6
14.4,12.3,90.0,66.7
14.6,12.7,90.0,66.8
14.7,13.1,90.0,67.0
14.8,13.3,90.0,67.0
15.0,13.6,90.0,67.1
15.2,14.0,90.0,67.2
15.3,14.2,90.0,67.3
15.4,14.6,90.0,67.4
15.6,15.0,90.0,67.5
15.7,15.2,90.0,67.6
15.9,15.6,90.0,67.7
16.0,15.9,90.0,67.8
16.2,16.3,90.0,67.9
16.4,16.7,90.0,68.0
16.5,16.9,90.0,68.1
16.7,17.3,90.0,68.2
16.8,17.7,90.0,68.3
16.9,17.9,90.0,68.4
17.1,18.3,90.0,68.5
17.3,18.7,90.0,68.6
17.3,18.9,90.0,68.7
17.5,19.3,90.0,68.8
17.7,19.6,90.0,68.9
17.8,19.8,90.0,69.0
18.0,20.2,90.0,69.1
18.1,20.6,90.0,69.2
18.3,21.0,90.0,69.3
18.5,21.4,90.0,69.5
18.6,21.6,90.0,69.5
18.7,22.0,90.0,69.6
18.9,22.3,90.0,69.7
19.0,22.5,90.0,69.8
19.1,22.7,90.0,69.8
19.3,23.1,90.0,70.0
19.3,23.3,90.0,70.0
19.4,23.5,90.0,70.1
19.6,23.9,90.0,70.2
20.2,25.2,90.0,70.6
20.6,26.0,90.0,70.8
20.8,26.6,90.0,71.0
21.0,27.0,90.0,71.1
21.1,27.2,90.0,71.2
21.2,27.5,90.0,71.3
21.4,27.9,90.0,71.4
21.5,28.1,90.0,71.5
21.7,28.5,90.0,71.6
21.8,28.9,90.0,71.7
21.9,29.1,90.0,71.8
22.1,29.4,90.0,71.9
22.3,29.8,90.0,72.0
22.5,30.2,90.0,72.1
22.6,30.6,90.0,72.2
22.7,30.8,90.0,72.3
22.9,31.1,90.0,72.4
23.1,31.5,90.0,72.5
23.2,31.7,90.0,72.5
23.3,32.1,90.0,72.7
23.5,32.5,90.0,72.8
23.6,32.7,90.0,72.8
23.8,33.0,90.0,73.0
23.9,33.4,90.0,73.1
24.1,33.8,90.0,73.2
24.3,34.2,90.0,73.3
24.4,34.4,90.0,73.3
24.5,34.8,90.0,73.5
24.7,35.1,90.0,73.6
24.9,35.5,90.0,73.7
25.1,35.9,90.0,73.8
25.1,36.1,90.0,73.9
25.3,36.5,90.0,74.0
25.5,36.8,90.0,74.1
25.6,37.0,90.0,74.1
25.8,37.4,90.0,74.2
25.9,37.8,90.0,74.4
26.0,38.0,90.0,74.4
26.2,38.4,90.0,74.5
26.4,38.7,90.0,74.7
26.5,39.1,90.0,74.8
26.7,39.5,90.0,74.9
26.8,39.7,90.0,74.9
27.0,40.0,90.0,75.0
27.1,40.4,90.0,75.2
27.2,40.6,90.0,75.2
27.4,41.0,90.0,75.3
27.6,41.4,90.0,75.4
27.7,41.5,90.0,75.5
27.8,41.9,90.0,75.6
28.0,42.3,90.0,75.7
28.1,42.5,90.0,75.8
28.3,42.9,90.0,75.9
28.4,43.2,90.0,76.0
28.6,43.6,90.0,76.1
28.8,44.0,90.0,76.2
28.9,44.1,90.0,76.3
29.0,44.5,90.0,76.4
29.2,44.9,90.0,76.5
29.3,45.1,90.0,76.6
29.5,45.5,90.0,76.7
29.7,45.8,90.0,76.8
29.7,46.0,90.0,76.8
29.9,46.4,90.0,77.0
30.1,46.8,90.0,77.1
30.3,47.2,90.0,77.2
30.4,47.5,90.0,77.3
30.5,47.7,90.0,77.3
30.7,48.1,90.0,77.5
30.9,48.4,90.0,77.6
31.0,48.8,90.0,77.7
31.2,49.2,90.0,77.8
31.3,49.4,90.0,77.8
31.5,49.7,90.0,78.0
31.6,50.1,90.0,78.1
31.7,50.3,90.0,78.1
31.9,50.6,90.0,78.2
32.1,51.0,90.0,78.3
32.2,51.2,90.0,78.4
32.3,51.5,90.0,78.5
32.5,51.9,90.0,78.6
32.6,52.1,90.0,78.7
32.8,52.5,90.0,78.8
32.9,52.8,90.0,78.9
33.0,53.0,90.0,78.9
33.2,53.4,90.0,79.0
33.4,53.7,90.0,79.2
33.5,53.9,90.0,79.2
33.6,54.3,90.0,79.3
33.8,54.6,90.0,79.4
34.0,55.0,90.0,79.5
34.2,55.3,90.0,79.6
34.2,55.5,90.0,79.7
34.4,55.9,90.0,79.8
34.6,56.3,90.0,79.9
34.7,56.5,90.0,80.0
34.8,56.8,90.0,80.1
35.0,57.2,90.0,80.2
35.2,57.5,90.0,80.3
35.4,57.9,90.0,80.4
35.5,58.0,90.0,80.4
35.6,58.4,90.0,80.5
35.8,58.7,90.0,80.7
35.9,58.9,90.0,80.7
36.1,59.2,90.0,80.8
36.2,59.6,90.0,80.9
36.3,59.8,90.0,81.0
36.5,60.1,90.0,81.1
36.7,60.5,90.0,81.2
36.8,60.8,90.0,81.3
37.0,61.2,90.0,81.4
37.2,61.5,90.0,81.5
37.4,61.9,90.0,81.6
37.4,62.0,90.0,81.6
37.5,62.2,90.0,81.7
37.7,62.5,90.0,81.8
37.8,62.7,90.0,81.8
37.9,62.9,90.0,81.9
38.1,63.2,90.0,82.0
38.2,63.5,90.0,82.1
38.4,63.9,90.0,82.2
38.6,64.2,90.0,82.3
38.7,64.4,90.0,82.4
38.8,64.7,90.0,82.5
39.0,65.1,90.0,82.6
39.2,65.4,90.0,82.7
39.4,65.8,90.0,82.8
39.4,65.9,90.0,82.8
39.6,66.3,90.0,82.9
39.8,66.6,90.0,83.0
39.9,66.8,90.0,83.1
40.0,67.1,90.0,83.2
40.2,67.4,90.0,83.3
40.3,67.6,90.0,83.3
40.5,67.9,90.0,83.4
40.7,68.3,90.0,83.5
40.8,68.6,90.0,83.6
41.0,68.9,90.0,83.7
41.1,69.1,90.0,83.8
