Time_sec,MPU_Fusion_deg,Shaft_Angle_deg,Final_Fusion_deg
0.1,-0.1,0.0,-0.0
0.2,-0.2,0.0,-0.1
0.4,0.0,0.0,0.0
0.5,-0.1,0.0,-0.0
0.7,0.0,0.0,0.0
0.8,-0.1,0.0,-0.0
0.9,-0.0,0.0,0.0
1.1,-0.1,0.0,-0.0
1.2,-0.1,0.0,-0.1
1.3,-0.2,0.0,-0.1
1.4,0.0,0.0,0.0
1.5,-0.3,0.0,-0.1
1.6,0.0,0.0,0.0
1.7,-0.0,0.0,-0.0
1.9,-0.1,0.0,-0.0
2.0,-0.1,0.0,-0.1
2.1,-0.3,0.0,-0.1
2.3,-0.0,0.0,0.0
2.4,-0.2,0.0,-0.1
2.5,0.0,0.0,0.0
2.6,-0.2,0.0,-0.1
2.7,0.0,0.0,0.0
2.9,-0.1,0.0,-0.0
3.0,-0.1,0.0,-0.0
3.2,-0.2,0.0,-0.1
3.3,-0.1,0.0,-0.1
3.4,-0.1,0.0,-0.0
3.5,0.0,0.0,0.0
3.6,-0.1,0.0,-0.1
3.8,-0.1,0.0,-0.1
3.9,-0.1,0.0,-0.0
4.1,-0.0,0.0,-0.0
4.3,-0.0,0.0,-0.0
4.4,-0.2,0.0,-0.1
4.5,-0.2,0.0,-0.1
4.6,-0.0,0.0,-0.0
4.7,-0.2,0.0,-0.1
4.8,-0.1,0.0,-0.1
4.9,-0.1,0.0,-0.0
5.1,-0.1,0.0,-0.1
5.3,-0.0,0.0,0.0
5.4,-0.0,0.0,0.0
5.5,-0.0,0.0,-0.0
5.7,-0.0,0.0,-0.0
5.8,0.0,0.0,0.0
5.9,-0.1,0.0,-0.1
6.0,0.0,0.0,0.0
6.1,-0.0,0.0,-0.0
6.3,-0.1,0.0,-0.0
6.4,-0.2,0.0,-0.1
6.7,-2.8,-2.5,-2.6
6.8,-7.7,-7.9,-7.8
7.0,-10.8,-12.1,-11.6
7.1,-14.4,-14.2,-14.3
7.2,-12.6,-16.3,-14.8
7.5,-23.4,-22.8,-23.0
7.7,-23.4,-27.4,-25.8
7.9,-26.7,-29.9,-28.6
8.0,-27.6,-29.9,-29.0
8.1,-28.1,-29.9,-29.2
8.2,-28.5,-29.9,-29.4
8.4,-28.6,-29.9,-29.4
8.6,-28.3,-29.9,-29.3
9.1,-28.3,-29.9,-29.3
9.3,-28.4,-29.9,-29.3
9.6,-28.2,-29.9,-29.3
9.7,-28.6,-29.9,-29.4
9.8,-28.3,-29.9,-29.3
10.0,-28.6,-29.9,-29.4
10.1,-28.4,-29.9,-29.3
10.2,-28.4,-29.9,-29.3
10.4,-28.8,-29.9,-29.5
10.6,-27.1,-29.9,-28.8
10.8,-28.5,-29.9,-29.4
11.0,-27.2,-29.9,-28.9
11.2,-32.1,-29.9,-30.8
11.3,-27.1,-29.9,-28.8
11.5,-28.5,-29.9,-29.4
11.7,-28.2,-29.9,-29.2
11.8,-28.6,-29.9,-29.4
11.9,-28.1,-29.9,-29.2
12.0,-28.3,-29.9,-29.3
12.2,-28.3,-29.9,-29.3
12.5,-28.4,-29.9,-29.3
12.6,-28.6,-29.9,-29.4
12.7,-28.4,-29.9,-29.3
12.8,-28.3,-29.9,-29.3
