No.;Time;Source;Destination;Protocol;Length;Info;
6;0.040180;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    57;" Unit:   1, Func:   3: Read Holding Registers"""
15;0.135172;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=13 Ack=18 Win=64566 Len=0;
20;0.189400;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    58;" Unit:   1, Func:   3: Read Holding Registers"""
26;0.259788;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=25 Ack=35 Win=64549 Len=0;
31;0.313891;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    59;" Unit:   1, Func:   3: Read Holding Registers"""
39;0.385892;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=37 Ack=52 Win=64532 Len=0;
44;0.480041;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    60;" Unit:   1, Func:   3: Read Holding Registers"""
54;0.556491;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=49 Ack=69 Win=64515 Len=0;
56;0.613388;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    61;" Unit:   1, Func:   3: Read Holding Registers"""
65;0.694033;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=61 Ack=86 Win=64498 Len=0;
68;0.747882;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    62;" Unit:   1, Func:   3: Read Holding Registers"""
77;0.817227;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=73 Ack=103 Win=64481 Len=0;
80;0.870731;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    63;" Unit:   1, Func:   3: Read Holding Registers"""
89;0.942404;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=85 Ack=120 Win=64464 Len=0;
92;1.013.229;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    64;" Unit:   1, Func:   3: Read Holding Registers"""
101;1.067.902;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=97 Ack=137 Win=64447 Len=0;
104;1.126.669;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    65;" Unit:   1, Func:   3: Read Holding Registers"""
113;1.194.584;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=109 Ack=154 Win=64430 Len=0;
116;1.255.759;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    66;" Unit:   1, Func:   3: Read Holding Registers"""
125;1.335.882;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=121 Ack=171 Win=64413 Len=0;
128;1.385.121;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    67;" Unit:   1, Func:   3: Read Holding Registers"""
137;1.460.517;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=133 Ack=188 Win=64396 Len=0;
140;1.515.808;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    68;" Unit:   1, Func:   3: Read Holding Registers"""
150;1.583.612;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=145 Ack=205 Win=64379 Len=0;
152;1.641.317;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    69;" Unit:   1, Func:   3: Read Holding Registers"""
161;1.709.558;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=157 Ack=222 Win=64362 Len=0;
164;1.769.230;192.168.1.100;192.168.1.102;Modbus/TCP;66;   Query: Trans:    70;" Unit:   1, Func:   3: Read Holding Registers"""
172;1.849.981;192.168.1.100;192.168.1.102;TCP;54;51004  >  502 [ACK] Seq=169 Ack=239 Win=64345 Len=0;
